"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"365","YFL022C","FRS2","NC","NC.1_1",17.46270751
"366","YFL028C","CAF16","NC","NC.1_1",14.80468653
"367","YFL037W","TUB2","NC","NC.1_1",17.53397515
"368","YFL038C","YPT1","NC","NC.1_1",17.11542313
"369","YFL039C","ACT1","NC","NC.1_1",18.71525109
"370","YFL045C","SEC53","NC","NC.1_1",18.15906299
"371","YFL048C","EMP47","NC","NC.1_1",16.68255376
"372","YFR002W","NIC96","NC","NC.1_1",15.32494152
"373","YFR004W","RPN11","NC","NC.1_1",16.10279013
"374","YFR006W","YFR006W","NC","NC.1_1",15.42416091
"375","YFR009W","GCN20","NC","NC.1_1",15.56256386
"376","YFR010W","UBP6","NC","NC.1_1",15.28855436
"377","YFR024C-A","LSB3","NC","NC.1_1",14.90955034
"378","YFR030W","MET10","NC","NC.1_1",15.35556954
"379","YFR031C-A;YIL018W",NA,"NC","NC.1_1",19.75322593
"380","YFR037C","RSC8","NC","NC.1_1",15.01746566
"381","YFR044C","DUG1","NC","NC.1_1",16.67314223
"382","YFR047C","BNA6","NC","NC.1_1",14.95228291
"383","YFR050C","PRE4","NC","NC.1_1",15.77432952
"384","YFR051C","RET2","NC","NC.1_1",16.32666072
"385","YFR052W","RPN12","NC","NC.1_1",14.96543343
"386","YFR053C","HXK1","NC","NC.1_1",16.29634948
"387","YGL001C","ERG26","NC","NC.1_1",15.08844277
"388","YGL008C","PMA1","NC","NC.1_1",18.20077194
"389","YGL009C","LEU1","NC","NC.1_1",18.18067102
"390","YGL011C","SCL1","NC","NC.1_1",16.7328926
"391","YGL014W","PUF4","NC","NC.1_1",15.55311482
"392","YGL022W","STT3","NC","NC.1_1",15.41867606
"393","YGL026C","TRP5","NC","NC.1_1",17.27319303
"394","YGL027C","CWH41","NC","NC.1_1",15.0013984
"395","YGL030W","RPL30","NC","NC.1_1",19.01798516
"396","YGL031C","RPL24A","NC","NC.1_1",18.00069688
"397","YGL037C","PNC1","NC","NC.1_1",16.63224187
"398","YGL040C","HEM2","NC","NC.1_1",15.61336492
"399","YGL043W","DST1","NC","NC.1_1",15.10940952
"400","YGL048C","RPT6","NC","NC.1_1",16.4750673
"401","YGL049C","TIF4632","NC","NC.1_1",15.65009251
"402","YGL055W","OLE1","NC","NC.1_1",14.91873524
"403","YGL056C","SDS23","NC","NC.1_1",14.8334196
"404","YGL062W","PYC1","NC","NC.1_1",15.70937499
"405","YGL070C","RPB9","NC","NC.1_1",14.65852335
"406","YGL078C","DBP3","NC","NC.1_1",15.59038683
"407","YGL087C","MMS2","NC","NC.1_1",14.80601967
"408","YGL092W","NUP145","NC","NC.1_1",14.47053011
"409","YGL097W","SRM1","NC","NC.1_1",15.20604136
"410","YGL099W","LSG1","NC","NC.1_1",15.52812248
"411","YGL100W","SEH1","NC","NC.1_1",14.65604406
"412","YGL103W","RPL28","NC","NC.1_1",19.73333129
"413","YGL105W","ARC1","NC","NC.1_1",17.05398486
"414","YGL106W","MLC1","NC","NC.1_1",15.65134261
"415","YGL111W","NSA1","NC","NC.1_1",14.91105418
"416","YGL115W","SNF4","NC","NC.1_1",14.93739061
"417","YGL120C","PRP43","NC","NC.1_1",15.69157464
"418","YGL122C","NAB2","NC","NC.1_1",15.4348715
"419","YGL123W","RPS2","NC","NC.1_1",19.6934693
"420","YGL125W","MET13","NC","NC.1_1",15.37464213
"421","YGL130W","CEG1","NC","NC.1_1",14.01499182
"422","YGL135W;YPL220W",NA,"NC","NC.1_1",19.44431718
"423","YGL137W","SEC27","NC","NC.1_1",16.5284689
"424","YGL148W","ARO2","NC","NC.1_1",16.96568636
"425","YGL157W","ARI1","NC","NC.1_1",16.12413488
"426","YGL167C","PMR1","NC","NC.1_1",14.57583985
"427","YGL173C","XRN1","NC","NC.1_1",15.78254367
"428","YGL189C","RPS26A","NC","NC.1_1",21.32884644
"429","YGL195W","GCN1","NC","NC.1_1",15.82240055
"430","YGL200C","EMP24","NC","NC.1_1",15.2679703
"431","YGL201C","MCM6","NC","NC.1_1",14.42253641
"432","YGL202W","ARO8","NC","NC.1_1",17.49871721
"433","YGL206C","CHC1","NC","NC.1_1",15.77467578
"434","YGL207W","SPT16","NC","NC.1_1",15.76695477
"435","YGL221C","NIF3","NC","NC.1_1",15.83625713
"436","YGL232W","TAN1","NC","NC.1_1",14.75716352
"437","YGL234W","ADE5,7","NC","NC.1_1",17.04316166
"438","YGL238W","CSE1","NC","NC.1_1",14.67047775
"439","YGL242C","YGL242C","NC","NC.1_1",15.22077127
"440","YGL244W","RTF1","NC","NC.1_1",16.79064393
"441","YGL245W","GUS1","NC","NC.1_1",17.74621291
"442","YGL252C","RTG2","NC","NC.1_1",14.30370697
"443","YGL253W","HXK2","NC","NC.1_1",19.68969065
"444","YGR001C","EFM5","NC","NC.1_1",15.36284278
"445","YGR005C","TFG2","NC","NC.1_1",14.83013586
"446","YGR009C","SEC9","NC","NC.1_1",14.08926668
"447","YGR012W","YGR012W","NC","NC.1_1",14.50093048
"448","YGR019W","UGA1","NC","NC.1_1",15.17806285
"449","YGR027C;YLR333C",NA,"NC","NC.1_1",18.56737519
"450","YGR054W","YGR054W","NC","NC.1_1",15.8449915
"451","YGR061C","ADE6","NC","NC.1_1",16.51347895
"452","YGR080W","TWF1","NC","NC.1_1",15.01616652
"453","YGR082W","TOM20","NC","NC.1_1",16.17988389
"454","YGR083C","GCD2","NC","NC.1_1",14.54343757
"455","YGR085C;YPR102C",NA,"NC","NC.1_1",19.4745541
"456","YGR086C","PIL1","NC","NC.1_1",18.24295165
"457","YGR090W","UTP22","NC","NC.1_1",14.90374571
"458","YGR094W","VAS1","NC","NC.1_1",16.92705888
"459","YGR103W","NOP7","NC","NC.1_1",15.50969081
