systematic_name,gene,treatment_id,fc_log2,p_value,adj_p_value,regulated
YNL220W,ADE12,AF,0.4591425,0.003060422,0.038113258,FALSE
YNL229C,URE2,AF,0.234113333,0.311490588,0.590746391,FALSE
YNL231C,PDR16,AF,0.284499167,0.102465142,0.329267038,FALSE
YNL232W,CSL4,AF,0.049535,0.823718942,0.929470094,FALSE
YNL239W,LAP3,AF,0.066748333,0.733409408,0.884968736,FALSE
YNL241C,ZWF1,AF,0.24207,0.12865374,0.371351765,FALSE
YNL243W,SLA2,AF,0.216116667,0.200985384,0.472967433,FALSE
YNL244C,SUI1,AF,-0.668116667,0.012804743,0.096486625,FALSE
YNL247W,YNL247W,AF,0.036529167,0.737603092,0.886825262,FALSE
YNL248C,RPA49,AF,0.136155833,0.496194344,0.74208938,FALSE
YNL251C,NRD1,AF,0.296195,0.094810465,0.315488413,FALSE
YNL255C,GIS2,AF,-0.072466667,0.820069643,0.927640778,FALSE
YNL256W,FOL1,AF,-0.185080833,0.373951826,0.647869159,FALSE
YNL281W,HCH1,AF,-0.168145833,0.474228176,0.726179123,FALSE
YNL284C-B,TY1B,AF,0.304945833,0.18992478,0.459224453,FALSE
YNL287W,SEC21,AF,0.041288333,0.754048745,0.894374328,FALSE
YNL290W,RFC3,AF,0.101059167,0.400642551,0.669370195,FALSE
YNL301C;YOL120C,NA,AF,0.099134167,0.678729547,0.854902028,FALSE
YNL302C;YOL121C,NA,AF,0.253945,0.16249067,0.420943166,FALSE
YNL307C,MCK1,AF,-0.0071575,0.961318214,0.986462606,FALSE
YNL308C,KRI1,AF,-0.108635,0.585375739,0.79849987,FALSE
YNL313C,EMW1,AF,0.2329575,0.477488487,0.728552975,FALSE
YNR001C,CIT1,AF,0.012695833,0.914024211,0.968720733,FALSE
YNR016C,ACC1,AF,-0.036911667,0.772684512,0.903207427,FALSE
YNR018W,RCF2,AF,0.135818333,0.579550694,0.795249563,FALSE
YNR021W,YNR021W,AF,0.293845,0.200258427,0.472192039,FALSE
YNR035C,ARC35,AF,0.222884167,0.398553915,0.667486012,FALSE
YNR043W,MVD1,AF,-0.069235833,0.620068915,0.820528896,FALSE
YNR050C,LYS9,AF,0.280138333,0.084782062,0.295723423,FALSE
YNR051C,BRE5,AF,-0.1930675,0.252531095,0.531773153,FALSE
YNR053C,NOG2,AF,-0.34919,0.057678968,0.237195354,FALSE
YOL004W,SIN3,AF,-0.0663225,0.709757981,0.872275421,FALSE
YOL005C,RPB11,AF,-0.402060833,0.226582917,0.502730421,FALSE
YOL021C,DIS3,AF,0.157393333,0.332794595,0.611559788,FALSE
YOL022C,TSR4,AF,-0.026686667,0.879915838,0.954733322,FALSE
YOL027C,MDM38,AF,0.291381667,0.151663555,0.405564548,FALSE
YOL030W,GAS5,AF,-0.265435833,0.220905522,0.495978933,FALSE
YOL038W,PRE6,AF,-0.001998333,0.988750513,0.995957032,FALSE
YOL039W,RPP2A,AF,-0.183710833,0.669980456,0.849854893,FALSE
